id_sale,qty_sale,total_price,date_sale,status,created_at,updated_at
128,3,65000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
129,2,40000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
130,4,93000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
131,1,18000,2021-07-10,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
132,1,25000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
133,1,18000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
134,5,101000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
135,1,25000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
136,5,105000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
137,2,44000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
138,1,25000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
139,5,102000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
140,2,43000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
141,1,25000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
142,5,110000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
143,3,65000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
144,3,68000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
145,3,68000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
146,2,47000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
147,4,87000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
148,2,44000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
149,1,22000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
150,4,90000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
151,1,25000,2021-07-11,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
152,5,116000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
153,3,68000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
154,5,109000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
155,3,54000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
156,1,22000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
157,5,109000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
158,4,87000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
159,1,25000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
160,1,18000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
161,1,22000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
162,3,65000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
163,5,108000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
164,3,65000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
165,4,90000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
166,1,25000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
167,4,83000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
168,2,47000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
169,5,118000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
170,2,43000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
171,5,104000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
172,3,62000,2021-07-12,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
173,4,86000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
174,5,115000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
175,2,44000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
176,5,111000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
177,2,36000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
178,5,122000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
179,1,22000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
180,5,115000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
181,3,62000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
182,3,65000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
183,4,90000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
184,3,62000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
185,1,18000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
186,4,94000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
187,2,43000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
188,2,36000,2021-07-13,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
189,4,80000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
190,4,88000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
191,1,25000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
192,5,102000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
193,5,108000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
194,3,68000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
195,5,106000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
196,1,22000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
197,1,25000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
198,5,108000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
199,4,90000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
200,5,122000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
201,5,108000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
202,5,108000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
203,2,40000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
204,4,84000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
205,5,105000,2021-07-14,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
206,2,47000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
207,4,87000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
208,4,86000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
209,4,76000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
210,4,97000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
211,2,50000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
212,3,72000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
213,1,25000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
214,4,93000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
215,5,113000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
216,2,40000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
217,2,36000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
218,2,43000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
219,1,22000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
220,1,18000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
221,1,22000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
222,5,98000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
223,2,43000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
224,4,90000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
225,1,18000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
226,5,119000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
227,5,102000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
228,4,90000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
229,5,97000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
230,2,47000,2021-07-15,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
231,3,65000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
232,1,25000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
233,4,93000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
234,3,58000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
235,4,100000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
236,5,118000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
237,2,40000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
238,3,75000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
239,4,91000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
240,2,47000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
241,1,25000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
242,4,90000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
243,4,84000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
244,3,69000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
245,3,65000,2021-07-16,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
246,5,109000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
247,3,68000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
248,2,36000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
249,5,105000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
250,1,18000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
251,1,25000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
252,1,25000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
253,5,105000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
254,4,86000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
255,5,112000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
256,4,76000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
257,3,58000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
258,3,58000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
259,3,61000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
260,5,115000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
261,5,116000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
262,4,76000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
263,3,68000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
264,3,68000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
265,5,115000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
266,1,18000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
267,4,87000,2021-07-17,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
268,4,83000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
269,5,116000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
270,2,43000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
271,2,50000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
272,2,43000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
273,5,112000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
274,4,90000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
275,4,84000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
276,2,43000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
277,3,65000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
278,5,102000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
279,1,22000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
280,4,86000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
281,5,108000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
282,3,66000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
283,5,111000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
284,1,25000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
285,2,36000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
286,4,83000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
287,4,79000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
288,1,22000,2021-07-18,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
289,4,80000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
290,4,87000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
291,4,83000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
292,5,111000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
293,1,18000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
294,4,86000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
295,3,62000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
296,4,83000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
297,2,47000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
298,2,47000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
299,4,87000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
300,4,91000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
301,1,22000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
302,5,112000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
303,2,43000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
304,4,87000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
305,4,83000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
306,5,111000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
307,4,87000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
308,3,68000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
309,4,87000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
310,1,25000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
311,5,97000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
312,1,22000,2021-07-19,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
313,4,83000,2021-07-20,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
314,5,109000,2021-07-20,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
315,1,18000,2021-07-20,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
316,2,43000,2021-07-20,accepted,2023-07-19 15:01:31,2023-07-19 15:01:31
